Trace
Swept SA
A.24.56,N9000B
3399881019.27644,-51.6726150512695
3399883960.37044,-55.0634422302246
3399886901.46444,-56.0702629089355
3399889842.55844,-56.0216026306152
3399892783.65244,-51.735652923584
3399895724.74644,-50.5845794677734
3399898665.84044,-49.7995529174805
3399901606.93444,-48.8959274291992
3399904548.02844,-48.4752426147461
3399907489.12244,-48.4837493896484
3399910430.21644,-49.4581451416016
3399913371.31044,-52.6006736755371
3399916312.40444,-59.7748565673828
3399919253.49844,-68.0156097412109
3399922194.59244,-65.0513610839844
3399925135.68644,-63.3379898071289
3399928076.78044,-62.1800918579102
3399931017.87444,-61.7705001831055
3399933958.96844,-61.7704734802246
3399936900.06244,-62.2209701538086
3399939841.15644,-63.4078254699707
3399942782.25044,-64.9325790405273
3399945723.34444,-66.1851348876953
3399948664.43844,-66.3694152832031
3399951605.53244,-60.574047088623
3399954546.62644,-55.5056571960449
3399957487.72044,-50.6258392333984
3399960428.81444,-46.7127647399902
3399963369.90844,-44.0915260314941
3399966311.00244,-42.7851600646973
3399969252.09644,-42.5786437988281
3399972193.19044,-42.66650390625
3399975134.28444,-43.6263961791992
3399978075.37844,-45.7032051086426
3399981016.47244,-49.2168998718262
3399983957.56644,-55.4559097290039
3399986898.66044,-54.3628578186035
3399989839.75444,-54.2493476867676
3399992780.84844,-46.1689529418945
3399995721.94244,-44.1159858703613
3399998663.03644,-43.6790885925293
3400001604.13044,-43.7430572509766
3400004545.22444,-44.7814483642578
3400007486.31844,-45.9939041137695
3400010427.41244,-46.4973030090332
3400013368.50644,-47.0348281860352
3400016309.60044,-48.6048011779785
3400019250.69444,-51.7814598083496
3400022191.78844,-56.9334144592285
3400025132.88244,-64.2261962890625
3400028073.97644,-71.3466262817383
3400031015.07044,-72.9712066650391
3400033956.16444,-61.256778717041
3400036897.25844,-55.2250595092773
3400039838.35244,-50.8290405273438
3400042779.44644,-48.2632637023926
3400045720.54044,-47.3826713562012
3400048661.63444,-47.3621673583984
3400051602.72844,-47.5583915710449
3400054543.82244,-46.8749046325684
3400057484.91644,-45.9644508361816
3400060426.01044,-45.6939392089844
3400063367.10444,-45.745964050293
3400066308.19844,-46.8389625549316
3400069249.29244,-49.5540084838867
3400072190.38644,-53.8876876831055
3400075131.48044,-59.3297538757324
3400078072.57444,-69.7881317138672
3400081013.66844,-62.2478485107422
3400083954.76244,-62.0814361572266
3400086895.85644,-51.2825584411621
3400089836.95044,-48.8080787658691
3400092778.04444,-48.3925132751465
3400095719.13844,-48.549488067627
3400098660.23244,-49.3762702941895
3400101601.32644,-49.3532066345215
3400104542.42044,-47.6884689331055
3400107483.51444,-48.7720832824707
3400110424.60844,-47.7020721435547
3400113365.70244,-51.8275566101074
3400116306.79644,-56.7098808288574
3400119247.89044,-62.1024551391602
3400122188.98444,-65.5333862304688
3400125130.07844,-66.6067581176758
3400128071.17244,-66.727897644043
3400131012.26644,-66.9155883789063
3400133953.36044,-67.443733215332
3400136894.45444,-68.2193145751953
3400139835.54844,-68.9983139038086
3400142776.64244,-69.5017166137695
3400145717.73644,-69.7107391357422
3400148658.83044,-70.0400695800781
3400151599.92444,-71.2269287109375
3400154541.01844,-72.3830642700195
3400157482.11244,-67.1943664550781
3400160423.20644,-64.2531585693359
3400163364.30044,-62.2206687927246
3400166305.39444,-61.1045761108398
3400169246.48844,-60.8152961730957
3400172187.58244,-60.8272171020508
3400175128.67644,-61.4338569641113
3400178069.77044,-63.4202194213867
3400181010.86444,-68.9134826660156
3400183951.95844,-71.4143600463867
3400186893.05244,-63.3382301330566
3400189834.14644,-60.7809829711914
3400192775.24044,-59.0403060913086
3400195716.33444,-57.0180549621582
3400198657.42844,-54.1007347106934
3400201598.52244,-50.6620750427246
3400204539.61644,-47.4435501098633
3400207480.71044,-44.9400634765625
3400210421.80444,-43.3256683349609
3400213362.89844,-42.5995178222656
3400216303.99244,-42.5534172058105
3400219245.08644,-42.7786521911621
3400222186.18044,-43.9996376037598
3400225127.27444,-46.5423278808594
3400228068.36844,-50.8717422485352
3400231009.46244,-57.717414855957
3400233950.55644,-65.1416015625
3400236891.65044,-69.7824554443359
3400239832.74444,-68.9394073486328
3400242773.83844,-68.8532028198242
3400245714.93244,-59.750602722168
3400248656.02644,-54.7146377563477
3400251597.12044,-50.6556587219238
3400254538.21444,-48.3407363891602
3400257479.30844,-48.0864410400391
3400260420.40244,-48.7656097412109
3400263361.49644,-56.6872444152832
3400266302.59044,-56.6257858276367
3400269243.68444,-50.1128273010254
3400272184.77844,-50.6042785644531
3400275125.87244,-49.9830780029297
3400278066.96644,-53.3210067749023
3400281008.06044,-54.2561531066895
3400283949.15444,-54.1998100280762
3400286890.24844,-48.3370361328125
3400289831.34244,-46.1799697875977
3400292772.43644,-45.3838539123535
3400295713.53044,-46.1782112121582
3400298654.62444,-45.3838005065918
3400301595.71844,-48.6730918884277
3400304536.81244,-52.6125640869141
3400307477.90644,-57.1766242980957
3400310419.00044,-60.9889640808105
3400313360.09444,-63.7406997680664
3400316301.18844,-63.366943359375
3400319242.28244,-63.2969512939453
3400322183.37644,-55.3599052429199
3400325124.47044,-51.0184936523438
3400328065.56444,-47.4723205566406
3400331006.65844,-45.239315032959
3400333947.75244,-44.6010513305664
3400336888.84644,-45.7606048583984
3400339829.94044,-44.6206207275391
3400342771.03444,-48.7657318115234
3400345712.12844,-53.2640914916992
3400348653.22244,-57.9493141174316
3400351594.31644,-61.1925277709961
3400354535.41044,-63.6319694519043
3400357476.50444,-67.2053985595703
3400360417.59844,-76.8915710449219
3400363358.69244,-68.489501953125
3400366299.78644,-63.1267356872559
3400369240.88044,-59.2853355407715
3400372181.97444,-57.1897048950195
3400375123.06844,-56.7425689697266
3400378064.16244,-56.7954444885254
3400381005.25644,-57.8253021240234
3400383946.35044,-59.7835083007813
3400386887.44444,-62.5753479003906
3400389828.53844,-66.711067199707
3400392769.63244,-66.5156478881836
3400395710.72644,-66.4507751464844
3400398651.82044,-62.529167175293
3400401592.91444,-62.3055877685547
3400404534.00844,-62.5129013061523
3400407475.10244,-64.9327239990234
3400410416.19644,-62.3166007995605
3400413357.29044,-62.1365356445313
3400416298.38444,-48.4988632202148
3400419239.47844,-43.6284294128418
3400422180.57244,-40.2614440917969
3400425121.66644,-38.316837310791
3400428062.76044,-37.7587814331055
3400431003.85444,-38.585563659668
3400433944.94844,-37.7681121826172
3400436886.04244,-40.5821380615234
3400439827.13644,-43.3586196899414
3400442768.23044,-48.0250701904297
3400445709.32444,-52.5652389526367
3400448650.41844,-52.4858589172363
3400451591.51244,-49.3816719055176
3400454532.60644,-49.5958137512207
3400457473.70044,-52.0728034973145
3400460414.79444,-55.5617561340332
3400463355.88844,-56.2912673950195
3400466296.98244,-56.2792930603027
3400469238.07644,-53.9831466674805
3400472179.17044,-50.7603569030762
3400475120.26444,-47.265380859375
3400478061.35844,-44.679126739502
3400481002.45244,-43.636417388916
3400483943.54644,-44.4179763793945
3400486884.64044,-43.6303901672363
3400489825.73444,-45.8249473571777
3400492766.82844,-44.1636276245117
3400495707.92244,-44.1243515014648
3400498649.01644,-42.8469924926758
3400501590.11044,-43.1686477661133
3400504531.20444,-45.2027931213379
3400507472.29844,-49.3555793762207
3400510413.39244,-55.628719329834
3400513354.48644,-61.8899116516113
3400516295.58044,-64.2022171020508
3400519236.67444,-63.9957046508789
3400522177.76844,-64.1612091064453
3400525118.86244,-64.2567520141602
3400528059.95644,-53.611457824707
3400531001.05044,-48.3963088989258
3400533942.14444,-44.9439926147461
3400536883.23844,-43.4422302246094
3400539824.33244,-43.3747978210449
3400542765.42644,-43.9225616455078
3400545706.52044,-46.2835083007813
3400548647.61444,-50.0762176513672
3400551588.70844,-54.1368560791016
3400554529.80244,-57.1829681396484
3400557470.89644,-59.2188186645508
3400560411.99044,-61.7111625671387
3400563353.08444,-63.8750038146973
3400566294.17844,-63.7009124755859
3400569235.27244,-50.7697372436523
3400572176.36644,-46.92236328125
3400575117.46044,-45.1509704589844
3400578058.55444,-45.0016250610352
3400580999.64844,-45.3625259399414
3400583940.74244,-47.3437690734863
3400586881.83644,-50.6484184265137
3400589822.93044,-54.4078521728516
3400592764.02444,-57.2944030761719
3400595705.11844,-58.1979789733887
3400598646.21244,-54.3446350097656
3400601587.30644,-51.5322647094727
3400604528.40044,-49.179801940918
3400607469.49444,-46.8554954528809
3400610410.58844,-44.2444953918457
3400613351.68244,-42.0251426696777
3400616292.77644,-40.9662208557129
3400619233.87044,-41.5191078186035
3400622174.96444,-40.9380111694336
3400625116.05844,-44.0182495117188
3400628057.15244,-48.5038108825684
3400630998.24644,-53.5081520080566
3400633939.34044,-56.3255882263184
3400636880.43444,-58.0158729553223
3400639821.52844,-60.0312461853027
3400642762.62244,-62.3324584960938
3400645703.71644,-61.2795104980469
3400648644.81044,-61.2274360656738
3400651585.90444,-57.0353469848633
3400654526.99844,-55.6803436279297
3400657468.09244,-55.1734809875488
3400660409.18644,-55.6598129272461
3400663350.28044,-55.1725769042969
3400666291.37444,-56.997673034668
3400669232.46844,-57.3432159423828
3400672173.56244,-57.3184432983398
3400675114.65644,-55.6861343383789
3400678055.75044,-56.3064270019531
3400680996.84444,-55.6852264404297
3400683937.93844,-58.4156341552734
3400686879.03244,-59.3908805847168
3400689820.12644,-59.343074798584
3400692761.22044,-55.0076370239258
3400695702.31444,-53.7951278686523
3400698643.40844,-53.587760925293
3400701584.50244,-53.6722068786621
3400704525.59644,-54.4921607971191
3400707466.69044,-55.6576881408691
3400710407.78444,-56.4418067932129
3400713348.87844,-56.4153327941895
3400716289.97244,-49.6463966369629
3400719231.06644,-45.2853622436523
3400722172.16044,-41.9303169250488
3400725113.25444,-40.0863990783691
3400728054.34844,-39.8508720397949
3400730995.44244,-40.1733779907227
3400733936.53644,-42.9515647888184
3400736877.63044,-49.5480880737305
3400739818.72444,-48.899585723877
3400742759.81844,-48.8048477172852
3400745700.91244,-41.8072395324707
3400748642.00644,-40.4104270935059
3400751583.10044,-40.3438491821289
3400754524.19444,-40.7960472106934
3400757465.28844,-42.6544227600098
3400760406.38244,-45.2082023620605
3400763347.47644,-47.392520904541
3400766288.57044,-48.9138565063477
3400769229.66444,-50.4232482910156
3400772170.75844,-52.7099571228027
3400775111.85244,-56.5470390319824
3400778052.94644,-62.8807601928711
3400780994.04044,-67.6240005493164
3400783935.13444,-67.504524230957
3400786876.22844,-54.9009971618652
3400789817.32244,-49.352222442627
3400792758.41644,-45.2650833129883
3400795699.51044,-42.8588638305664
3400798640.60444,-42.2453460693359
3400801581.69844,-43.6241874694824
3400804522.79244,-42.2862510681152
3400807463.88644,-46.7342681884766
3400810404.98044,-49.9390830993652
3400813346.07444,-50.3614196777344
3400816287.16844,-45.0097503662109
3400819228.26244,-42.6709403991699
3400822169.35644,-42.1197090148926
3400825110.45044,-42.2954521179199
3400828051.54444,-45.259651184082
3400830992.63844,-46.7707481384277
3400833933.73244,-42.6955528259277
3400836874.82644,-43.2885437011719
3400839815.92044,-42.5965232849121
3400842757.01444,-47.9088935852051
3400845698.10844,-47.9873657226563
3400848639.20244,-47.8525238037109
3400851580.29644,-39.0263824462891
3400854521.39044,-37.0817756652832
3400857462.48444,-36.8308906555176
3400860403.57844,-37.0817222595215
3400863344.67244,-39.1056289672852
3400866285.76644,-43.0638732910156
3400869226.86044,-47.2533531188965
3400872167.95444,-49.0921020507813
3400875109.04844,-49.6321907043457
3400878050.14244,-50.4768905639648
3400880991.23644,-52.4965286254883
3400883932.33044,-55.7414512634277
3400886873.42444,-51.7404899597168
3400889814.51844,-47.2753562927246
3400892755.61244,-43.1882171630859
3400895696.70644,-40.2060470581055
3400898637.80044,-38.6607704162598
3400901578.89444,-38.4576683044434
3400904519.98844,-38.629997253418
3400907461.08244,-39.9653244018555
3400910402.17644,-42.267391204834
3400913343.27044,-44.8365325927734
3400916284.36444,-46.8305740356445
3400919225.45844,-48.0831336975098
3400922166.55244,-48.9483108520508
3400925107.64644,-49.0011863708496
3400928048.74044,-46.6035003662109
3400930989.83444,-46.15380859375
3400933930.92844,-46.1955909729004
3400936872.02244,-47.7519111633301
3400939813.11644,-53.5258941650391
3400942754.21044,-56.4900894165039
3400945695.30444,-53.3219108581543
3400948636.39844,-56.8373146057129
3400951577.49244,-53.4046249389648
3400954518.58644,-60.5472373962402
3400957459.68044,-57.9703674316406
3400960400.77444,-58.2723922729492
3400963341.86844,-57.3721771240234
3400966282.96244,-57.2825584411621
3400969224.05644,-53.657886505127
3400972165.15044,-54.5128288269043
3400975106.24444,-52.9547500610352
3400978047.33844,-52.7755393981934
3400980988.43244,-39.9621124267578
3400983929.52644,-35.6966400146484
3400986870.62044,-33.1078262329102
3400989811.71444,-32.2630729675293
3400992752.80844,-32.2639007568359
3400995693.90244,-33.2331771850586
3400998634.99644,-35.8014640808105
3401001576.09044,-38.5677032470703
3401004517.18444,-39.7750396728516
3401007458.27844,-40.1367950439453
3401010399.37244,-40.9047050476074
3401013340.46644,-42.6530075073242
3401016281.56044,-44.2997703552246
3401019222.65444,-44.2818260192871
3401022163.74844,-42.4396133422852
3401025104.84244,-42.3414611816406
3401028045.93644,-42.6025352478027
3401030987.03044,-44.3277969360352
3401033928.12444,-47.2109375
3401036869.21844,-49.3517379760742
3401039810.31244,-48.0752372741699
3401042751.40644,-48.0325469970703
3401045692.50044,-45.7082405090332
3401048633.59444,-45.6937103271484
3401051574.68844,-46.0708274841309
3401054515.78244,-47.1484680175781
3401057456.87644,-48.2167205810547
3401060397.97044,-48.7474212646484
3401063339.06444,-48.2610397338867
3401066280.15844,-48.238826751709
3401069221.25244,-44.5714912414551
3401072162.34644,-42.3197135925293
3401075103.44044,-40.9467926025391
3401078044.53444,-40.7880592346191
3401080985.62844,-41.1003265380859
3401083926.72244,-43.3452262878418
3401086867.81644,-46.8171157836914
3401089808.91044,-47.4118118286133
3401092750.00444,-45.6549224853516
3401095691.09844,-45.6361236572266
3401098632.19244,-45.8681869506836
3401101573.28644,-46.3639030456543
3401104514.38044,-46.3920364379883
3401107455.47444,-46.1360321044922
3401110396.56844,-45.426944732666
3401113337.66244,-45.4021759033203
3401116278.75644,-43.5463104248047
3401119219.85044,-43.5249519348145
3401122160.94444,-43.8517265319824
3401125102.03844,-41.157958984375
3401128043.13244,-37.2346458435059
3401130984.22644,-33.6773796081543
3401133925.32044,-31.301025390625
3401136866.41444,-30.4784564971924
3401139807.50844,-30.4775772094727
3401142748.60244,-30.9169788360596
3401145689.69644,-30.2607975006104
3401148630.79044,-28.3306980133057
3401151571.88444,-25.7529735565186
3401154512.97844,-23.2537498474121
3401157454.07244,-21.5386734008789
3401160395.16644,-21.1205501556396
3401163336.26044,-21.2032890319824
3401166277.35444,-22.8722400665283
3401169218.44844,-25.5326766967773
3401172159.54244,-25.4985198974609
3401175100.63644,-23.3952083587646
3401178041.73044,-24.6870174407959
3401180982.82444,-23.4190483093262
3401183923.91844,-28.2467651367188
3401186865.01244,-34.2835502624512
3401189806.10644,-37.5941734313965
3401192747.20044,-29.4173583984375
3401195688.29444,-25.2184429168701
3401198629.38844,-22.7123928070068
3401201570.48244,-22.2089443206787
3401204511.57644,-22.3130149841309
3401207452.67044,-23.033992767334
3401210393.76444,-19.4844074249268
3401213334.85844,-17.3580589294434
3401216275.95244,-16.2547664642334
3401219217.04644,-16.1438179016113
3401222158.14044,-16.3340682983398
3401225099.23444,-17.4936218261719
3401228040.32844,-19.5414199829102
3401230981.42244,-22.3827476501465
3401233922.51644,-25.5065059661865
3401236863.61044,-26.4544506072998
3401239804.70444,-20.7418518066406
3401242745.79844,-17.0821952819824
3401245686.89244,-14.1187973022461
3401248627.98644,-12.2714643478394
3401251569.08044,-11.7500972747803
3401254510.17444,-12.6280746459961
3401257451.26844,-11.7671098709106
3401260392.36244,-14.4138956069946
3401263333.45644,-16.119535446167
3401266274.55044,-18.0965118408203
3401269215.64444,-22.4455490112305
3401272156.73844,-29.3859367370605
3401275097.83244,-26.7629909515381
3401278038.92644,-27.1059761047363
3401280980.02044,-26.6204452514648
3401283921.11444,-29.8090496063232
3401286862.20844,-33.0258140563965
3401289803.30244,-35.4550170898438
3401292744.39644,-35.2118110656738
3401295685.49044,-35.0872077941895
3401298626.58444,-26.1194248199463
3401301567.67844,-23.9094562530518
3401304508.77244,-21.8530750274658
3401307449.86644,-18.8248310089111
3401310390.96044,-15.8605804443359
3401313332.05444,-13.9424266815186
3401316273.14844,-13.4159393310547
3401319214.24244,-14.3775367736816
3401322155.33644,-13.4363651275635
3401325096.43044,-16.7452793121338
3401328037.52444,-20.2632427215576
3401330978.61844,-23.9731903076172
3401333919.71244,-26.2095565795898
3401336860.80644,-27.1788349151611
3401339801.90044,-28.1284866333008
3401342742.99444,-29.9510231018066
3401345684.08844,-32.7420082092285
3401348625.18244,-34.6541366577148
3401351566.27644,-30.7461833953857
3401354507.37044,-28.3169269561768
3401357448.46444,-27.2503261566162
3401360389.55844,-27.2195816040039
3401363330.65244,-27.6009635925293
3401366271.74644,-28.6854305267334
3401369212.84044,-30.1965274810791
3401372153.93444,-32.8518447875977
3401375095.02844,-37.0106048583984
3401378036.12244,-40.115592956543
3401380977.21644,-43.7265586853027
3401383918.31044,-45.3298072814941
3401386859.40444,-39.288703918457
3401389800.49844,-41.6086921691895
3401392741.59244,-39.2681732177734
3401395682.68644,-41.819393157959
3401398623.78044,-33.6186904907227
3401401564.87444,-30.7235546112061
3401404505.96844,-28.5093193054199
3401407447.06244,-26.9887847900391
3401410388.15644,-26.3812370300293
3401413329.25044,-26.3769454956055
3401416270.34444,-26.8325595855713
3401419211.43844,-28.3317108154297
3401422152.53244,-30.9076766967773
3401425093.62644,-34.9563674926758
3401428034.72044,-36.6406745910645
3401430975.81444,-36.5527648925781
3401433916.90844,-29.282112121582
3401436858.00244,-27.2248764038086
3401439799.09644,-26.7069225311279
3401442740.19044,-27.7649383544922
3401445681.28444,-26.7384414672852
3401448622.37844,-30.205207824707
3401451563.47244,-33.7291450500488
3401454504.56644,-37.8665733337402
3401457445.66044,-42.6669883728027
3401460386.75444,-48.390625
3401463327.84844,-42.9212074279785
3401466268.94244,-39.1455078125
3401469210.03644,-36.3459358215332
3401472151.13044,-34.798095703125
3401475092.22444,-34.5745162963867
3401478033.31844,-34.7758598327637
3401480974.41244,-36.6060752868652
3401483915.50644,-40.7861671447754
3401486856.60044,-48.0900459289551
3401489797.69444,-51.7581825256348
3401492738.78844,-47.0396308898926
3401495679.88244,-44.4064445495605
3401498620.97644,-42.6333465576172
3401501562.07044,-41.8901290893555
3401504503.16444,-41.8653602600098
3401507444.25844,-42.1452026367188
3401510385.35244,-43.1238632202148
3401513326.44644,-44.3832511901855
3401516267.54044,-45.5871734619141
3401519208.63444,-46.7731781005859
3401522149.72844,-48.219425201416
3401525090.82244,-50.0436706542969
3401528031.91644,-52.2953948974609
3401530973.01044,-55.8415184020996
3401533914.10444,-55.6059913635254
3401536855.19844,-55.5069885253906
3401539796.29244,-50.3285293579102
3401542737.38644,-52.4863967895508
3401545678.48044,-50.3276214599609
3401548619.57444,-54.3208503723145
3401551560.66844,-44.411922454834
3401554501.76244,-40.5227394104004
3401557442.85644,-38.6472473144531
3401560383.95044,-39.1378440856934
3401563325.04444,-38.5251808166504
3401566266.13844,-42.9749031066895
3401569207.23244,-51.7088432312012
3401572148.32644,-51.7412376403809
3401575089.42044,-48.5884170532227
3401578030.51444,-48.4365119934082
3401580971.60844,-48.5183982849121
3401583912.70244,-49.1702651977539
3401586853.79644,-50.1190605163574
3401589794.89044,-51.0866317749023
3401592735.98444,-52.1216087341309
3401595677.07844,-53.0371322631836
3401598618.17244,-49.4150199890137
3401601559.26644,-45.2621765136719
3401604500.36044,-41.4839172363281
3401607441.45444,-39.0017585754395
3401610382.54844,-38.2286796569824
3401613323.64244,-39.3464241027832
3401616264.73644,-38.2371597290039
3401619205.83044,-42.3831253051758
3401622146.92444,-46.8268737792969
3401625088.01844,-51.1810302734375
3401628029.11244,-52.0419425964355
3401630970.20644,-51.9881629943848
3401633911.30044,-45.7934722900391
3401636852.39444,-42.8164215087891
3401639793.48844,-40.955436706543
3401642734.58244,-40.550968170166
3401645675.67644,-40.6285858154297
3401648616.77044,-41.6934280395508
3401651557.86444,-41.505687713623
3401654498.95844,-41.4672622680664
3401657440.05244,-38.6566009521484
3401660381.14644,-38.4765357971191
3401663322.24044,-38.6062049865723
3401666263.33444,-39.4901580810547
3401669204.42844,-39.4961013793945
3401672145.52244,-39.4773063659668
3401675086.61644,-38.7887001037598
3401678027.71044,-39.1018180847168
3401680968.80444,-41.0386924743652
3401683909.89844,-46.177848815918
3401686850.99244,-45.6385612487793
3401689792.08644,-45.5207862854004
3401692733.18044,-37.5658226013184
3401695674.27444,-35.6860656738281
3401698615.36844,-35.3216972351074
3401701556.46244,-35.4044380187988
3401704497.55644,-36.6245727539063
3401707438.65044,-39.1280097961426
3401710379.74444,-42.6272010803223
3401713320.83844,-46.8405723571777
3401716261.93244,-51.263843536377
3401719203.02644,-53.9857139587402
3401722144.12044,-53.1529083251953
3401725085.21444,-53.1264305114746
3401728026.30844,-51.7313232421875
3401730967.40244,-52.2065658569336
3401733908.49644,-51.729564666748
3401736849.59044,-54.0828285217285
3401739790.68444,-57.1059036254883
3401742731.77844,-58.7535209655762
3401745672.87244,-54.5162086486816
3401748613.96644,-49.9282035827637
3401751555.06044,-45.6789436340332
3401754496.15444,-42.7377319335938
3401757437.24844,-41.4526977539063
3401760378.34244,-41.3912391662598
3401763319.43644,-41.7726173400879
3401766260.53044,-42.9517974853516
3401769201.62444,-42.5072212219238
3401772142.71844,-42.4833068847656
3401775083.81244,-41.7563018798828
3401778024.90644,-42.2153282165527
3401780966.00044,-44.3117637634277
3401783907.09444,-48.0976486206055
3401786848.18844,-52.5012969970703
3401789789.28244,-54.8136024475098
3401792730.37644,-53.7316436767578
3401795671.47044,-54.481632232666
3401798612.56444,-53.6078681945801
3401801553.65844,-55.5532760620117
3401804494.75244,-43.3780899047852
3401807435.84644,-38.5614128112793
3401810376.94044,-35.6867523193359
3401813318.03444,-34.6977996826172
3401816259.12844,-34.6943588256836
3401819200.22244,-35.3342781066895
3401822141.31644,-36.8342819213867
3401825082.41044,-38.3078384399414
3401828023.50444,-39.9025535583496
3401830964.59844,-42.4699859619141
3401833905.69244,-47.2251739501953
3401836846.78644,-53.9266510009766
3401839787.88044,-47.8505630493164
3401842728.97444,-43.8922653198242
3401845670.06844,-41.1490097045898
3401848611.16244,-39.797420501709
3401851552.25644,-39.5337371826172
3401854493.35044,-39.5354156494141
3401857434.44444,-39.3314628601074
3401860375.53844,-39.0865516662598
3401863316.63244,-39.0865249633789
3401866257.72644,-39.558349609375
3401869198.82044,-41.4952239990234
3401872139.91444,-47.002986907959
3401875081.00844,-48.2282447814941
3401878022.10244,-48.1283874511719
3401880963.19644,-42.426025390625
3401883904.29044,-42.120532989502
3401886845.38444,-42.3363800048828
3401889786.47844,-44.2672805786133
3401892727.57244,-48.0019721984863
3401895668.66644,-52.5336074829102
3401898609.76044,-48.2348594665527
3401901550.85444,-43.7833786010742
3401904491.94844,-40.1569976806641
3401907433.04244,-38.0366249084473
3401910374.13644,-37.6159400939941
3401913315.23044,-37.7319564819336
3401916256.32444,-39.4435691833496
3401919197.41844,-43.3634185791016
3401922138.51244,-49.6135177612305
3401925079.60644,-57.1213264465332
